Designator,Footprint,Quantity,Value,LCSC Part #
J101,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
J102,PinSocket_1x04_P2.54mm_Vertical,1,IMU_Left,
J103,PinSocket_1x04_P2.54mm_Vertical,1,IMU_Right,
"R101, R102, R103",0603,3,0,
U101,Teensy41,1,Teensy4.1,
U102,mTrain,1,mTrain,
