Partlist

Exported from control-2011-b.brd at 10/16/2014 2:51:20 AM

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Package         Library          Position (inch)       Orientation
Q2       NTMS4503N          SO8             onsemi           (0.978 0.505)         MR180
Q3       NTMS10P02R2        SO8             onsemi           (1.4 3.585)           MR180
Q4       NTMS4503N          SO8             onsemi           (1.4 3.27)            MR0
Q5       NTMS10P02R2        SO8             onsemi           (4.35 3.58)           MR180
Q6       NTMS4503N          SO8             onsemi           (4.35 3.27)           MR0
Q7       NTMS10P02R2        SO8             onsemi           (4.36 0.196)          MR0
Q8       NTMS4503N          SO8             onsemi           (4.36 0.506)          MR180
Q9       NTMS10P02R2        SO8             onsemi           (3.215 3.575)         MR180
Q10      NTMS4503N          SO8             onsemi           (3.215 3.27)          MR0
Q11      NTMS10P02R2        SO8             onsemi           (0.603 0.195)         MR0
Q12      NTMS4503N          SO8             onsemi           (0.603 0.505)         MR180
Q13      NTMS10P02R2        SO8             onsemi           (1.025 3.585)         MR180
Q14      NTMS4503N          SO8             onsemi           (1.025 3.27)          MR0
Q15      NTMS10P02R2        SO8             onsemi           (3.975 3.58)          MR180
Q16      NTMS4503N          SO8             onsemi           (3.975 3.27)          MR0
Q17      NTMS10P02R2        SO8             onsemi           (3.975 0.195)         MR0
Q18      NTMS4503N          SO8             onsemi           (3.975 0.505)         MR180
Q19      NTMS10P02R2        SO8             onsemi           (2.84 3.58)           MR180
Q20      NTMS4503N          SO8             onsemi           (2.84 3.27)           MR0
Q21      NTMS10P02R2        SO8             onsemi           (1.353 0.195)         MR0
Q22      NTMS4503N          SO8             onsemi           (1.353 0.505)         MR180
Q23      NTMS10P02R2        SO8             onsemi           (0.65 3.585)          MR180
Q24      NTMS4503N          SO8             onsemi           (0.65 3.27)           MR0
Q25      NTMS10P02R2        SO8             onsemi           (3.6 3.58)            MR180
Q26      NTMS4503N          SO8             onsemi           (3.6 3.27)            MR0
Q27      NTMS10P02R2        SO8             onsemi           (3.6 0.195)           MR0
Q28      NTMS4503N          SO8             onsemi           (3.6 0.505)           MR180
Q29      NTMS10P02R2        SO8             onsemi           (2.465 3.585)         MR180
Q30      NTMS4503N          SO8             onsemi           (2.465 3.27)          MR0
Q33      FDV304P            SOT-23          zetex            (4.07 1.505)          R90
R1       220                RA_4_1206       resistor-array   (2.87 0.485)          MR0
R2       10.0k              R0603           rcl              (2.884 2.211)         MR270
R3       220                RA_4_1206       resistor-array   (2.115 3.675)         MR0
R4       220                RA_4_1206       resistor-array   (0.545 1.965)         MR90
