C1  6.18  9.26 270 10uF 0603
C2  3.54  5.82 180 0.1uF 0603
C3 12.18  8.76  90 10uF 0603
Q3  5.14 12.67 180 BSS138 SOT23-WIDE
Q4 10.59 12.87 180 BSS138 SOT23-WIDE
R1  3.89 19.81 180 10k 0603
R2  3.84 17.73   0 10k 0603
R3  3.84 15.71   0 10k 0603
R4  3.54  9.61   0 10k 0603
U1  7.88  3.89 270 VL6180X VL6180
U2  9.25  9.06  90 MIC5225_2.8V SOT23-5
