"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY";"MPN";"PINS";"PIN_PITCH";"SPICEPREFIX";"VALUE";
"1";"ATV02W600-HF";"TVSSOD123W";"SOD123-W";"D21";"Suppressor diode";"";"";"";"";"";"";
"3";"B2PS-VH(LF)(SN)";"B2PS-VH(LF)(SN)";"B2PS-CENTERED";"J1, J3, J4";"Power Connector";"455-1648-ND";"B2PS-VH(LF)(SN)";"";"";"";"";
"2";"BLUE";"LED-SMD-BLUE";"CHIP-LED0603";"D3, D12";"";"160-1647-1-ND";"LTST-C191TBKT";"";"";"";"BLUE";
"4";"BSS127";"BSS127";"SOT-23-3";"Q3, Q4, Q5, Q6";"";"";"";"";"";"";"";
"1";"BSS806NSOT-23-3";"BSS806NSOT-23-3";"SOT95P240X110-3";"Q10";"";"";"";"";"";"";"";
"1";"CSS-121XB";"CSS-121XB";"CSS-121XB";"S1";"";"";"";"";"";"";"";
"4";"ERJ-6GEYJ515V";"R-US_R0805";"R0805";"R36, R37, R46, R47";"RESISTOR, American symbol";"";"";"";"";"";"";
"1";"ERJ-P06J274V";"R-US_R0805";"R0805";"R30";"RESISTOR, American symbol";"";"";"";"";"";"";
"1";"GA34XX-BLBL";"GA34XX-BLBL";"SOP400P3370X1400-12";"L1";"";"";"";"";"";"";"";
"4";"GREEN";"LED-SMD-GREEN";"CHIP-LED0603";"D2, D4, D6, D13";"";"160-1446-1-ND";"LTST-C191KGKT";"";"";"";"GREEN";
"3";"HDP001R";"HDP001R";"HDP001R";"S2, S3, S4";"";"";"";"";"";"";"";
"1";"HFW8R-1ST";"HFW8R-1ST";"HFW8R-1ST";"J2";"";"609-1788-1-ND";"HFW8R-1STE1LF";"";"";"";"";
"1";"IRFS4227";"IRFS4227";"D2PAK";"Q2";"";"";"";"";"";"";"";
"1";"IX4427N";"IX4427N";"SOIC-8";"U5";"";"";"";"";"";"";"";
"2";"IXGK400N30A3";"IXGK400N30A3";"TO264";"U$6, U$7";"";"";"";"";"";"";"";
"1";"LT3751FE";"LT3751FE";"TSSOP-20_EP";"U3";"";"";"";"";"";"";"";
"2";"MAX6817";"MAX6817";"SOT-23-6";"U6, U7";"";"";"";"";"";"";"";
"1";"MPM3620GQV-P";"MPM3620GQV-P";"MPM3620GQV-P";"U1";"";"";"";"";"";"";"";
"4";"PESD5V0C1USFYL";"TVS0603";"R0603";"D23, D27, D28, D29";"Suppressor diode";"";"";"";"";"";"";
"1";"PTVS20VS1UR";"TVSSOD123W";"SOD123-W";"D24";"Suppressor diode";"";"";"";"";"";"";
"1";"RC0603FR-07205KL";"R-US_R0603";"R0603";"R48";"RESISTOR, American symbol";"";"";"";"";"";"";
"4";"RED";"LED-SMD-RED";"CHIP-LED0603";"D8, D9, D10, D14";"";"160-1447-1-ND";"LTST-C191KRKT";"";"";"";"RED";
"2";"SMAJ20ADO-214AC";"SMAJ20ADO-214AC";"RESM5226X262";"D16, D17";"";"";"";"";"";"";"";
"4";"VS-5EWH06FN-M3D-PAK_TO252AA";"VS-5EWH06FN-M3D-PAK_TO252AA";"TO460P990X239-3";"D1, D18, D19, D22";"";"";"";"";"";"";"";
"4";"YELLOW";"LED-SMD-YELLOW";"CHIP-LED0603";"D5, D7, D11, D20";"";"160-1448-1-ND";"LTST-C191KSKT";"";"";"";"YELLOW";
