Partlist

Exported from control-2014-a.brd at 12/27/2014 11:42:20 PM

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Package         Library                Position (inch)       Orientation
Q19      FAN7380            SO08            microchip              (4.155 0.665)         MR180
Q20      BSC072N03LD        BSC072N03LD     Dual N-Channel MOSFET  (4.155 0.16)          MR270
Q21      FAN7380            SO08            microchip              (3.835 0.665)         MR180
Q22      BSC072N03LD        BSC072N03LD     Dual N-Channel MOSFET  (3.835 0.16)          MR270
Q23      FAN7380            SO08            microchip              (3.515 0.665)         MR180
Q24      BSC072N03LD        BSC072N03LD     Dual N-Channel MOSFET  (3.515 0.16)          MR270
Q25      FAN7380            SO08            microchip              (1.395 0.65)          MR180
Q26      BSC072N03LD        BSC072N03LD     Dual N-Channel MOSFET  (2.925 3.385)         MR90
Q27      FAN7380            SO08            microchip              (1.075 0.65)          MR180
Q28      BSC072N03LD        BSC072N03LD     Dual N-Channel MOSFET  (2.605 3.385)         MR90
Q29      FAN7380            SO08            microchip              (0.48 0.65)           MR180
Q30      BSC072N03LD        BSC072N03LD     Dual N-Channel MOSFET  (2.285 3.385)         MR90
R1       5.6k               R0603           rcl                    (1.195 3.63)          R180
R2       22                 RA_4_1206       resistor-array         (1.35 3.13)           R0
R3       220                RA_4_1206       resistor-array         (1.445 2.345)         R90
R4       10.0k              R0603           rcl                    (1.8 2.765)           R180
R5       10.0k              R0603           rcl                    (1.915 2.845)         R0
R6       22                 RA_4_1206       resistor-array         (2.115 2.815)         R180
R7       220                R0603           rcl                    (2.258 2.123)         R0
R8       22                 RA_4_1206       resistor-array         (3.43 2.95)           R90
R9       10K                R0603           rcl                    (4.395 3.885)         MR0
R10      220                RA_4_1206       resistor-array         (4.335 2.625)         R270
R11      220                RA_2_0606       resistor-array         (4.335 2.51)          R90
R12      NP                 R0603           rcl                    (2.385 1.86)          R0
R13      NP                 R0603           rcl                    (2.42 1.73)           R0
R14      10.0k              R0603           rcl                    (2.42 1.65)           R180
R15      10.0k              R0603           rcl                    (3.84 1.8)            R270
R16      330k               R0603           rcl                    (4.425 1.795)         R270
R17      220                R0603           rcl                    (4.48 1.57)           R90
R18      10.0k              R0603           rcl                    (4.48 1.42)           R90
R19      330k               R0603           rcl                    (4.32 1.36)           R180
R20      27                 RA_2_0606       resistor-array         (4.23 1.26)           R180
R21      1.5k               R0603           rcl                    (4.12 1.255)          R180
R22      10.0k              R0603           rcl                    (4.259 1.069)         R0
R23      220                RA_4_1206       resistor-array         (3.535 1)             R270
R24      22                 RA_4_1206       resistor-array         (3.235 0.545)         R90
