Partlist

Exported from control-2011-a.brd at 10/16/2014 2:52:24 AM

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Package         Library          Position (inch)       Orientation

J13      2MM-4H             2MM-4-H         2mm              (0.23 1.45)           R90
J14      2MM-4H             2MM-4-H         2mm              (0.23 2.805)          R90
J15      2MM-4H             2MM-4-H         2mm              (4.78 2.57)           R270
J16      2MM-4H             2MM-4-H         2mm              (4.78 1.21)           R270
J17      2MM-8H             2MM-8-H         2mm              (3.17 3.91)           R0
J18                         MA09-1          con-lstb         (4.23 1.92)           R270
J19      JST_VH_2           JST_VH_2        jst_vh           (1.765 0.22)          R0
J20      2MM-5V             2MM-5-V         2mm              (2.23 1.01)           R180
L1       SDR0403-270KL      SDR0403         power            (0.855 1.755)         R180
LED1                        CHIP-LED0603    led              (2.525 2.255)         R270
Q1       NTMS10P02R2        SO8             onsemi           (0.978 0.175)         MR0
Q2       NTMS4503N          SO8             onsemi           (0.978 0.485)         MR180
Q3       NTMS10P02R2        SO8             onsemi           (1.4 3.565)           MR180
Q4       NTMS4503N          SO8             onsemi           (1.4 3.25)            MR0
Q5       NTMS10P02R2        SO8             onsemi           (4.35 3.56)           MR180
Q6       NTMS4503N          SO8             onsemi           (4.35 3.25)           MR0
Q7       NTMS10P02R2        SO8             onsemi           (4.36 0.176)          MR0
Q8       NTMS4503N          SO8             onsemi           (4.36 0.486)          MR180
Q9       NTMS10P02R2        SO8             onsemi           (3.215 3.555)         MR180
Q10      NTMS4503N          SO8             onsemi           (3.215 3.25)          MR0
Q11      NTMS10P02R2        SO8             onsemi           (0.603 0.175)         MR0
Q12      NTMS4503N          SO8             onsemi           (0.603 0.485)         MR180
Q13      NTMS10P02R2        SO8             onsemi           (1.025 3.565)         MR180
Q14      NTMS4503N          SO8             onsemi           (1.025 3.25)          MR0
Q15      NTMS10P02R2        SO8             onsemi           (3.975 3.56)          MR180
Q16      NTMS4503N          SO8             onsemi           (3.975 3.25)          MR0
Q17      NTMS10P02R2        SO8             onsemi           (3.975 0.175)         MR0
Q18      NTMS4503N          SO8             onsemi           (3.975 0.485)         MR180
Q19      NTMS10P02R2        SO8             onsemi           (2.84 3.56)           MR180
Q20      NTMS4503N          SO8             onsemi           (2.84 3.25)           MR0
Q21      NTMS10P02R2        SO8             onsemi           (1.353 0.175)         MR0
Q22      NTMS4503N          SO8             onsemi           (1.353 0.485)         MR180
Q23      NTMS10P02R2        SO8             onsemi           (0.65 3.565)          MR180
Q24      NTMS4503N          SO8             onsemi           (0.65 3.25)           MR0
Q25      NTMS10P02R2        SO8             onsemi           (3.6 3.56)            MR180
Q26      NTMS4503N          SO8             onsemi           (3.6 3.25)            MR0
Q27      NTMS10P02R2        SO8             onsemi           (3.6 0.175)           MR0
Q28      NTMS4503N          SO8             onsemi           (3.6 0.485)           MR180
Q29      NTMS10P02R2        SO8             onsemi           (2.465 3.565)         MR180
Q30      NTMS4503N          SO8             onsemi           (2.465 3.25)          MR0
Q31      FDV303N            SOT-23          zetex            (1.345 2.45)          MR90
Q32      FDV303N            SOT-23          zetex            (3.644 3.91)          R270
Q33      FDV304P            SOT-23          zetex            (4.07 1.485)          R90
R1       220                RA_4_1206       resistor-array   (3.275 0.48)          MR0
R2       4.7K               R0603           rcl              (2.884 2.271)         MR270
R3       220                RA_4_1206       resistor-array   (2.115 3.655)         MR0
R4       220                RA_4_1206       resistor-array   (0.545 1.945)         MR90
R5       10k                R0603           rcl              (0.478 1.595)         R0
R6       220                RA_4_1206       resistor-array   (0.39 0.865)          R90
R7       4.7K               R0603           rcl              (1.294 1.412)         R0
R8       4.7K               R0603           rcl              (4.524 1.199)         R0
R9       100                R0603           rcl              (3.285 3.945)         MR270
R10      1k                 R0603           rcl              (1.435 1.35)          R0
R11      NP                 R0603           rcl              (2.57 1.86)           R0
R12      10k                R0603           rcl              (2.57 1.78)           R180
R13      220                R0603           rcl              (2.408 2.253)         R0
R14      0                  R0603           rcl              (0.865 2.06)          R0
R15      0                  R0603           rcl              (0.79 2.33)           R0
R16      1K                 R0603           rcl              (1.241 2.476)         MR270
R17      1k                 R0603           rcl              (2.975 0.48)          MR90
R18      10                 R0603           rcl              (0.831 0.109)         MR90
R19      10                 R0603           rcl              (1.122 0.662)         MR90
R20      4.7K               R0603           rcl              (0.921 1.03)          MR180
R21      4.7K               R0603           rcl              (1.089 1.031)         MR0
R22      10                 R0603           rcl              (0.45 0.106)          MR90
R23      10                 R0603           rcl              (0.748 0.666)         MR90
R24      4.7K               R0603           rcl              (0.539 1.031)         MR180
R25      4.7K               R0603           rcl              (0.711 1.03)          MR0
R26      10                 R0603           rcl              (1.207 0.109)         MR90
R27      10                 R0603           rcl              (1.5 0.664)           MR90
R28      4.7K               R0603           rcl              (1.292 1.03)          MR180
R29      4.7K               R0603           rcl              (1.463 1.029)         MR0
R30      10                 R0603           rcl              (1.551 3.633)         MR270
R31      10                 R0603           rcl              (1.255 3.08)          MR270
R32      4.7K               R0603           rcl              (1.46 2.69)           MR0
R33      4.7K               R0603           rcl              (1.29 2.69)           MR180
R34      10                 R0603           rcl              (1.17 3.635)          MR270
R35      10                 R0603           rcl              (0.88 3.076)          MR270
R36      4.7K               R0603           rcl              (1.081 2.692)         MR0
R37      4.7K               R0603           rcl              (0.913 2.692)         MR180
R38      10                 R0603           rcl              (0.797 3.635)         MR270
R39      10                 R0603           rcl              (0.507 3.075)         MR270
R40      4.7K               R0603           rcl              (0.708 2.693)         MR0
R41      4.7K               R0603           rcl              (0.532 2.696)         MR180
R42      10                 R0603           rcl              (4.494 3.626)         MR270
R43      10                 R0603           rcl              (4.202 3.078)         MR270
R44      4.7K               R0603           rcl              (4.41 2.699)          MR0
R45      4.7K               R0603           rcl              (4.24 2.7)            MR180
R46      10                 R0603           rcl              (4.119 3.627)         MR270
R47      10                 R0603           rcl              (3.825 3.08)          MR270
R48      4.7K               R0603           rcl              (4.035 2.699)         MR0
R49      4.7K               R0603           rcl              (3.86 2.697)          MR180
R50      10                 R0603           rcl              (3.742 3.628)         MR270
R51      10                 R0603           rcl              (3.449 3.079)         MR270
R52      4.7K               R0603           rcl              (3.66 2.697)          MR0
R53      4.7K               R0603           rcl              (3.485 2.695)         MR180
R54      10                 R0603           rcl              (4.205 0.115)         MR90
R55      10                 R0603           rcl              (4.51 0.657)          MR90
R56      4.7K               R0603           rcl              (4.299 1.031)         MR180
R57      4.7K               R0603           rcl              (4.47 1.031)          MR0
R58      10                 R0603           rcl              (3.824 0.111)         MR90
R59      10                 R0603           rcl              (4.121 0.657)         MR90
R60      4.7K               R0603           rcl              (3.915 1.03)          MR180
R61      4.7K               R0603           rcl              (4.086 1.03)          MR0
R62      10                 R0603           rcl              (3.449 0.109)         MR90
R63      10                 R0603           rcl              (3.747 0.653)         MR90
R64      4.7K               R0603           rcl              (3.541 1.031)         MR180
R65      4.7K               R0603           rcl              (3.709 1.03)          MR0
R66      10                 R0603           rcl              (3.375 3.622)         MR270
R67      10                 R0603           rcl              (3.069 3.08)          MR270
R68      4.7K               R0603           rcl              (3.274 2.687)         MR0
R69      4.7K               R0603           rcl              (3.103 2.689)         MR180
R70      10                 R0603           rcl              (3.002 3.626)         MR270
R71      10                 R0603           rcl              (2.698 3.079)         MR270
R72      4.7K               R0603           rcl              (2.899 2.688)         MR0
R73      4.7K               R0603           rcl              (2.732 2.687)         MR180
R74      10                 R0603           rcl              (2.623 3.632)         MR270
R75      10                 R0603           rcl              (2.323 3.079)         MR270
R76      4.7K               R0603           rcl              (2.522 2.688)         MR0
R77      4.7K               R0603           rcl              (2.358 2.688)         MR180
R78      5.6k               R0603           rcl              (1.885 3.945)         MR270
R79      220                R0603           rcl              (3.13 0.48)           MR270
R80      10K                R0603           rcl              (3.33 1.5)            R180
R81      40K                R0603           rcl              (2.863 0.694)         MR270
R82      10K                R0603           rcl              (2.773 0.694)         MR90
R83      52.3k              R0603           rcl              (0.505 1.88)          R90
R84      10K                R0603           rcl              (0.618 1.901)         R180
R85      220                RA_4_1206       resistor-array   (0.19 3.195)          MR0
R86      220                RA_4_1206       resistor-array   (4.44 2.755)          R270
R87      220                RA_4_1206       resistor-array   (4.845 0.785)         MR180
R88      220                RA_4_1206       resistor-array   (2.275 3.655)         MR0
R89      220                RA_2_0606       resistor-array   (0.375 1.355)         MR270
R90      220                RA_2_0606       resistor-array   (0.325 2.485)         MR0
R91      220                RA_2_0606       resistor-array   (4.62 2.555)          R90
R92      220                RA_2_0606       resistor-array   (4.64 1.265)          MR90
R93      27                 RA_2_0606       resistor-array   (4.38 1.39)           R180
R94      1.5k               R0603           rcl              (3.87 1.415)          R90
R95      100                R0603           rcl              (4.595 1.555)         MR270
R96      10                 R0603           rcl              (4.535 1.955)         MR0
R97      10k                RA_2_0606       resistor-array   (3.78 2.5)            MR180
R98      10k                RA_2_0606       resistor-array   (3.64 2.5)            MR180
R99      10k                RA_2_0606       resistor-array   (4.1 1.42)            MR0
R100     10k                RA_2_0606       resistor-array   (3.87 2.5)            MR180
R101     10k                RA_2_0606       resistor-array   (4.615 2.22)          MR0
R102     220                RA_4_1206       resistor-array   (0.545 1.73)          MR90
R103     220                RA_2_0606       resistor-array   (0.545 1.595)         MR270
R104     220                RA_4_1206       resistor-array   (1.995 1.16)          R0
R105     NP                 R0603           rcl              (3.545 1.42)          R270
R106     10k                RA_2_0606       resistor-array   (2.835 1.39)          MR90
R108     330k               R0603           rcl              (4.59 1.745)          R90
R109     330k               R0603           rcl              (4.59 1.93)           R270
R110     1.5k               R0603           rcl              (4.27 1.385)          R180
R113     0                  R0603           rcl              (0.725 2.51)          R180
R114     0                  R0603           rcl              (0.725 2.695)         R180
S1       SWS004             SMS-004         smd-special      (2.945 1.07)          R180
S2                          B3F-31XX        switch-omron     (1.27 3.9)            R180
S3       2M1-DP1-T1-B1-M2QE 2M-DP-M2        switch-robocup   (2.265 0.255)         R0
S4       KMR2               KMR2            switch-robocup   (4.22 1.165)          R180
S5       RTE1600V44         HEX-RA          switch-robocup   (3.985 3.845)         R90
U1       XC3S100E           TQFP144         xilinx           (1.967 1.766)         R0
U2       M25P10             SO08            st_micro         (2.654 2.272)         MR0
U3       LM2734             SOT23-6L        power            (0.565 1.725)         R180
U4       MCP1824T-1202E/OT  SOT23-5         power            (0.565 2.47)          R270
U5       MCP1824T-2502E/OT  SOT23-5         power            (0.565 2.655)         R270
U6       TC4428             SO08            microchip        (0.978 0.825)         MR180
U7       AT91SAM7S64        SQFP-S-12X12-64 at91sam7         (3.605 1.89)          R90
U8       UA78M33CDCYR       SOT223          power            (0.61 2.15)           R90
U9       TC4428             SO08            microchip        (0.603 0.825)         MR180
U10      ACS712             SO08            power            (1.63 0.695)          R270
U11      ACS712             SO08            power            (1.72 3.39)           R180
