Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C84,10uF,C_1206_3216Metric,174.0,-144.8,-90.0,top
C85,10uF,C_1206_3216Metric,170.0,-144.8,-90.0,top
C86,220uF,CP_Elec_6.3x7.7,162.45,-89.83392,90.0,top
C87,10uF,C_1206_3216Metric,188.8,-115.6,90.0,top
C88,10uF,C_1206_3216Metric,191.6,-115.6,90.0,top
C89,10uF,C_1206_3216Metric,194.4,-115.6,90.0,top
C9,100 pF,C_0603_1608Metric,119.8,-123.8,180.0,bottom
C90,10uF,C_1206_3216Metric,197.2,-115.6,90.0,top
C91,10uF,C_1206_3216Metric,200.0,-115.6,90.0,top
C92,10uF,C_1206_3216Metric,202.8,-115.6,90.0,top
C93,100nF,C_0603_1608Metric,134.0,-119.15,0.0,bottom
C94,1uF,C_0603_1608Metric,135.27,-116.5,-90.0,top
C95,100nF,C_0603_1608Metric,123.96,-117.2,90.0,top
C96,100nF,C_0603_1608Metric,123.96,-114.0,90.0,top
C97,100nF,C_0603_1608Metric,123.96,-110.8,90.0,top
C98,100nF,C_0603_1608Metric,122.025,-105.25,180.0,bottom
C99,10uF,C_1206_3216Metric,186.0,-115.6,90.0,top
D1,GREEN,D_0603_1608Metric,177.96125,-99.73,180.0,top
D2,GREEN,D_0603_1608Metric,177.96125,-101.53,180.0,top
D3,GREEN,D_0603_1608Metric,177.96125,-103.33,180.0,top
D4,GREEN,D_0603_1608Metric,92.4,-150.2,-90.0,top
D5,GREEN,D_0603_1608Metric,86.8,-150.2,-90.0,top
D6,GREEN,D_0603_1608Metric,207.2,-150.0,90.0,top
D7,GREEN,D_0603_1608Metric,213.0,-150.0125,90.0,top
D8,GREEN,D_0603_1608Metric,126.4175,-89.18,0.0,top
J12,XT30PW-M,XT30PWM,131.4625,-91.35,270.0,bottom
J14,HFW8R-1STE1H1LF,AMPHENOL_HFW8R-1STE1H1LF,197.45,-111.0,270.0,bottom
J15,XT60PW-M,XT60PWM,150.1,-166.1625,180.0,top
J17,D2510-6002-AR,CONN_6002RB_3MM,90.07,-108.9386,-90.0,top
J20,D2510-6002-AR,CONN_6002RB_3MM,127.92,-175.33,0.0,top
J23,D2510-6002-AR,CONN_6002RB_3MM,172.08,-175.33,0.0,top
J26,D2510-6002-AR,CONN_6002RB_3MM,210.23,-108.92,90.0,top
J28,S8B-PH-SM4-TB,CONN_S8B-PH-SM4-TB_JST,111.0,-89.155699,180.0,top
J4,52901-0274,529010274,134.0,-103.0,0.0,top
J5,52901-0274,529010274,138.0,-146.0,-90.0,top
J8,52901-0274,529010274,166.0,-103.0,0.0,top
J9,52901-0274,529010274,162.0,-146.0,90.0,top
Q1,STD140N6F7,DPAKTO-252_A2_STM,107.3121,-140.6288,-90.0,top
Q10,STD140N6F7,DPAKTO-252_A2_STM,107.4125,-165.5,-90.0,top
Q11,STD140N6F7,DPAKTO-252_A2_STM,107.5668,-165.6543,270.0,bottom
Q12,STD140N6F7,DPAKTO-252_A2_STM,107.3457,-157.0,-90.0,top
Q13,STD140N6F7,DPAKTO-252_A2_STM,107.5,-157.0,270.0,bottom
Q14,BSS123,SOT-23,89.6,-150.1375,90.0,bottom
Q15,STD140N6F7,DPAKTO-252_A2_STM,191.7356,-157.5,90.0,top
Q16,STD140N6F7,DPAKTO-252_A2_STM,191.9332,-157.5,90.0,bottom
Q17,STD140N6F7,DPAKTO-252_A2_STM,191.5668,-165.5,90.0,top
Q18,STD140N6F7,DPAKTO-252_A2_STM,191.9125,-166.0,90.0,bottom
Q19,STD140N6F7,DPAKTO-252_A2_STM,191.5668,-174.0,90.0,top
Q2,STD140N6F7,DPAKTO-252_A2_STM,106.8996,-140.3644,270.0,bottom
Q20,STD140N6F7,DPAKTO-252_A2_STM,191.9332,-174.2644,90.0,bottom
Q21,BSS123,SOT-23,204.25,-150.1125,90.0,bottom
Q22,STD140N6F7,DPAKTO-252_A2_STM,193.6543,-123.5,90.0,top
Q23,STD140N6F7,DPAKTO-252_A2_STM,193.9187,-123.5,90.0,bottom
Q24,STD140N6F7,DPAKTO-252_A2_STM,193.6543,-132.0,90.0,top
Q25,STD140N6F7,DPAKTO-252_A2_STM,193.8519,-132.0668,90.0,bottom
Q26,STD140N6F7,DPAKTO-252_A2_STM,193.7418,-140.5,90.0,top
Q27,STD140N6F7,DPAKTO-252_A2_STM,193.9332,-140.5,90.0,bottom
Q28,BSS123,SOT-23,210.2,-150.0625,270.0,bottom
Q29,STD140N6F7,DPAKTO-252_A2_STM,99.0,-103.1668,180.0,top
Q3,STD140N6F7,DPAKTO-252_A2_STM,107.4664,-131.8644,-90.0,top
Q30,STD140N6F7,DPAKTO-252_A2_STM,99.0,-102.6668,0.0,bottom
Q31,STD140N6F7,DPAKTO-252_A2_STM,107.0,-102.9457,180.0,top
Q32,STD140N6F7,DPAKTO-252_A2_STM,107.0,-102.6,0.0,bottom
Q33,STD140N6F7,DPAKTO-252_A2_STM,115.178,-102.7457,180.0,top
Q34,STD140N6F7,DPAKTO-252_A2_STM,115.0,-102.4668,0.0,bottom
Q35,BSS123,SOT-23,130.5625,-91.05,180.0,top
Q4,STD140N6F7,DPAKTO-252_A2_STM,106.8328,-132.3644,270.0,bottom
Q5,STD140N6F7,DPAKTO-252_A2_STM,107.5332,-123.7644,-90.0,top
Q6,STD140N6F7,DPAKTO-252_A2_STM,106.8996,-124.0,270.0,bottom
Q7,BSS123,SOT-23,95.2875,-150.1125,270.0,bottom
Q8,STD140N6F7,DPAKTO-252_A2_STM,107.3457,-174.0,-90.0,top
Q9,STD140N6F7,DPAKTO-252_A2_STM,107.6543,-174.0,270.0,bottom
R1,5.6k,R_0603_1608Metric,178.00125,-99.73,180.0,bottom
R10,1k,R_0603_1608Metric,140.0,-130.2,0.0,top
R11,10k,R_0603_1608Metric,138.2,-136.000001,0.0,top
R12,160k,R_0603_1608Metric,149.872262,-110.447262,90.0,top
R13,30.1k,R_0603_1608Metric,150.622262,-112.952738,180.0,top
R14,10k,R_0603_1608Metric,169.5,-90.4,270.0,bottom
R15,29.4k,R_0603_1608Metric,166.8,-114.85,180.0,top
R16,1k,R_0603_1608Metric,176.15,-95.0,270.0,bottom
R17,160k,R_0603_1608Metric,167.6,-112.275,90.0,top
R18,51k,R_0603_1608Metric,166.0,-112.275,-90.0,top
R19,1k,R_0603_1608Metric,178.16,-91.5,90.0,bottom
R2,1k,R_0603_1608Metric,177.95125,-101.53,180.0,bottom
R20,590k,R_0603_1608Metric,171.2,-90.4,270.0,bottom
R21,100k,R_0603_1608Metric,172.8,-90.4,90.0,bottom
R22,10k,R_0603_1608Metric,126.175,-138.6,0.0,top
R23,120,R_0603_1608Metric,131.4,-124.0,90.0,bottom
R24,120,R_0603_1608Metric,119.775,-125.6,180.0,bottom
