"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"IX4427N";"IX4427N";"SOIC-8";"U4";"";"";
"2";"IXGK400N30A3";"IXGK400N30A3";"TO264";"Q3, Q4";"";"";
"1";"LT3751FE";"LT3751FE";"TSSOP-20_EP";"U3";"";"";
"1";"MPM3620GQV-P";"MPM3620GQV-P";"MPM3620GQV-P";"U1";"";"";
"1";"PTVS20VS1UR";"TVSSOD123W";"SOD123-W";"D1";"Suppressor diode";"";
"1";"RC0603FR-07102KL";"R-US_R0603";"R0603";"R38";"RESISTOR, American symbol";"";
"4";"RED";"LED-SMD-RED";"CHIP-LED0603";"D9, D11, D18, D19";"";"";
"2";"SMAJ20A";"SMAJ20ADO-214AC";"RESM5226X262";"D3, D4";"";"";
"3";"VS-5EWH06FN-M3";"VS-5EWH06FN-M3D-PAK_TO252AA";"TO460P990X239-3";"D2, D5, D6";"";"";
"4";"YELLOW";"LED-SMD-YELLOW";"CHIP-LED0603";"D12, D13, D17, D20";"";"";
