"BZ1","PS12","PS12"
"R89","220","RA_2_0606"
"R90","220","RA_2_0606"
"R91","220","RA_2_0606"
"R92","220","RA_2_0606"
"R93","27","RA_2_0606"
"R94","1.5k","0603"
"R95","56k","0603"
"R96","10.0k","0603"
"R97","10.0k","0603"
"R102","0","0603"
"R103","220","RA_2_0606"
"R104","220","RA_4_1206"
"R107","220","0603"
"R108","330k","0603"
"R109","330k","0603"
"R110","1.5k","0603"
"R111","10k","0603"
"R112","10.0k","0603"
"R113","0","0603"
"R114","0","0603"
"R116","10.0k","0603"
"R117","220","RA_4_1206"
"R118","220","RA_4_1206"
"R119","220","RA_2_0606"
"R120","220","RA_4_1206"
"R122","220","RA_2_0606"
"R123","220","RA_2_0606"
"R124","220","RA_2_0606"
"R125","220","RA_2_0606"
"R128","220","RA_2_0606"
"R129","220","RA_2_0606"
"R130","220","RA_2_0606"
"R131","220","RA_2_0606"
"S1","SWS004","SMS-004"
"S2","B3F-3120","B3F-31XX"
"S3","M2022S2A2W30","M202X-30"
"S4","KMR2","KMR2"
"S5","94HBB16RAT","HEX-RA-2C"
"U1","XC3S100E","TQFP144"
"U2","M25P10","SO08"
"U3","LM2734","SOT23-6L"
"U4","MCP1824T-1202E/OT","SOT23-5"
"U5","MCP1824T-2502E/OT","SOT23-5"
"U6","TC4428","SO08"
"U7","AT91SAM7S256","SQFP-S-10X10-64"
"U8","MCP1824ST-3302E/DB","SOT223"
"U9","TC4428","SO08"
"U10","CC1101","QLP20"
"U12","TC4428","SO08"
"U13","0896BM15A0001","0896BM15A0001"
"U15","TC4428","SO08"
"U18","TC4428","SO08"
"U19","IMU3000","IMU3000"
"U20","KXTF9-2050","KXTF9"
"U21","TC4428","SO08"
"U24","TC4428","SO08"
"U27","TC4428","SO08"
"U30","TC4428","SO08"
"U33","TC4428","SO08"
"U36","TC4428","SO08"
"U39","TC4428","SO08"
"U42","TC4428","SO08"
"U45","TC4428","SO08"
"U48","TC4428","SO08"
"X1","18.432MHz","XTAL_LCC"
"X2","644-1055-1-ND","XTAL-3.2X2.5"
