Partlist

Exported from mainpcb.sch at 1/21/2014 6:55:47 PM

EAGLE Version 6.1.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value              Device                Package         Library          Sheet
Q11      IRF9310TRPBF       NTMS10P02R2           SO8             onsemi           2
Q12      IRF8734TRPBF       NTMS4503N             SO8             onsemi           2
Q13      IRF9310TRPBF       NTMS10P02R2           SO8             onsemi           2
Q14      IRF8734TRPBF       NTMS4503N             SO8             onsemi           2
Q15      IRF9310TRPBF       NTMS10P02R2           SO8             onsemi           2
Q16      IRF8734TRPBF       NTMS4503N             SO8             onsemi           2
Q17      IRF9310TRPBF       NTMS10P02R2           SO8             onsemi           2
Q18      IRF8734TRPBF       NTMS4503N             SO8             onsemi           2
Q19      IRF9310TRPBF       NTMS10P02R2           SO8             onsemi           2
Q20      IRF8734TRPBF       NTMS4503N             SO8             onsemi           2
Q21      IRF9310TRPBF       NTMS10P02R2           SO8             onsemi           2
Q22      IRF8734TRPBF       NTMS4503N             SO8             onsemi           2
Q23      IRF9310TRPBF       NTMS10P02R2           SO8             onsemi           2
Q24      IRF8734TRPBF       NTMS4503N             SO8             onsemi           2
Q25      IRF9310TRPBF       NTMS10P02R2           SO8             onsemi           2
Q26      IRF8734TRPBF       NTMS4503N             SO8             onsemi           2
Q27      IRF9310TRPBF       NTMS10P02R2           SO8             onsemi           2
Q28      IRF8734TRPBF       NTMS4503N             SO8             onsemi           2
Q29      IRF9310TRPBF       NTMS10P02R2           SO8             onsemi           2
Q30      IRF8734TRPBF       NTMS4503N             SO8             onsemi           2
Q33      FDV304P            PMOSSOT23             SOT-23          zetex            4
R1       220                RA-41206              RA_4_1206       resistor-array   4
R2       10.0k              R-US_R0603            R0603           rcl              1
R3       220                RA-41206              RA_4_1206       resistor-array   1
R4       220                RA-41206              RA_4_1206       resistor-array   1
R5       10.0k              R-US_R0603            R0603           rcl              5
R6       220                RA-41206              RA_4_1206       resistor-array   2
R7       10.0k              R-US_R0603            R0603           rcl              1
R8       10.0k              R-US_R0603            R0603           rcl              4
R9       150 1/8W           R-US_R0805            R0805           rcl              4
R10      220                R-US_R0603            R0603           rcl              1
R11      NP                 R-US_R0603            R0603           rcl              1
R12      10.0k              R-US_R0603            R0603           rcl              1
R13      220                R-US_R0603            R0603           rcl              1
R14      0                  R-US_R0603            R0603           rcl              5
R15      0                  R-US_R0603            R0603           rcl              5
R16      100k               R-US_R0603            R0603           rcl              4
R17      1.5k               R-US_R0603            R0603           rcl              4
R18      10                 R-US_R0603            R0603           rcl              2
R19      10                 R-US_R0603            R0603           rcl              2
R20      10.0k              R-US_R0603            R0603           rcl              2
R21      10.0k              R-US_R0603            R0603           rcl              2
R22      10                 R-US_R0603            R0603           rcl              2
R23      10                 R-US_R0603            R0603           rcl              2
R24      10.0k              R-US_R0603            R0603           rcl              2
R25      10.0k              R-US_R0603            R0603           rcl              2
R26      10                 R-US_R0603            R0603           rcl              2
R27      10                 R-US_R0603            R0603           rcl              2
R28      10.0k              R-US_R0603            R0603           rcl              2
