Partlist

Exported from control-2008-a.brd at 12/27/2014 11:47:06 PM

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Package      Library      Position (inch)       Orientation

R27      220                R0603        rcl          (1.52 0.664)          MR90
R28      4.7K               R0603        rcl          (1.285 0.757)         R90
R29      4.7K               R0603        rcl          (1.454 0.757)         R90
R30      220                R0603        rcl          (1.451 3.073)         R270
R31      220                R0603        rcl          (1.225 3)             MR270
R32      4.7K               R0603        rcl          (1.48 2.645)          MR90
R33      4.7K               R0603        rcl          (1.33 2.645)          MR90
R34      220                R0603        rcl          (1.2 3.175)           MR270
R35      220                R0603        rcl          (0.86 3.071)          MR270
R36      4.7K               R0603        rcl          (1.112 2.649)         MR90
R37      4.7K               R0603        rcl          (0.948 2.653)         MR90
R38      220                R0603        rcl          (0.837 3.445)         MR270
R39      220                R0603        rcl          (0.477 3.075)         MR270
R40      4.7K               R0603        rcl          (0.733 2.652)         MR90
R41      4.7K               R0603        rcl          (0.574 2.652)         MR90
R42      220                R0603        rcl          (4.519 3.241)         MR270
R43      220                R0603        rcl          (4.187 3.143)         MR270
R44      4.7K               R0603        rcl          (4.271 2.97)          MR270
R45      4.7K               R0603        rcl          (4.43 2.97)           MR270
R46      220                R0603        rcl          (3.819 3.332)         MR270
R47      220                R0603        rcl          (3.81 3.145)          MR270
R48      4.7K               R0603        rcl          (3.886 2.97)          MR270
R49      4.7K               R0603        rcl          (4.052 2.97)          MR270
R50      220                R0603        rcl          (3.772 3.728)         MR270
R51      220                R0603        rcl          (3.429 3.154)         MR270
R52      4.7K               R0603        rcl          (3.523 2.97)          MR270
R53      4.7K               R0603        rcl          (3.665 2.97)          MR270
R54      220                R0603        rcl          (4.185 0.355)         MR90
R55      220                R0603        rcl          (4.5 0.667)           MR90
R56      4.7K               R0603        rcl          (4.364 0.829)         MR90
R57      4.7K               R0603        rcl          (4.216 0.83)          MR90
R58      220                R0603        rcl          (3.799 0.361)         MR90
R59      220                R0603        rcl          (4.106 0.612)         MR90
R60      4.7K               R0603        rcl          (4.025 0.83)          MR90
R61      4.7K               R0603        rcl          (3.87 0.829)          MR90
R62      220                R0603        rcl          (3.429 0.084)         MR90
R63      220                R0603        rcl          (3.762 0.628)         MR90
R64      4.7K               R0603        rcl          (3.694 0.831)         MR90
R65      4.7K               R0603        rcl          (3.545 0.831)         MR90
R66      220                R0603        rcl          (2.945 3.107)         MR270
R67      220                R0603        rcl          (2.614 3.075)         MR270
R68      4.7K               R0603        rcl          (2.813 2.854)         R270
R69      4.7K               R0603        rcl          (2.699 2.852)         R270
R70      220                R0603        rcl          (2.572 3.331)         MR270
R71      220                R0603        rcl          (2.238 3.019)         MR270
R72      4.7K               R0603        rcl          (2.452 2.789)         R270
R73      4.7K               R0603        rcl          (2.312 2.793)         R270
R74      220                R0603        rcl          (2.188 3.202)         MR270
R75      220                R0603        rcl          (1.993 3.079)         R270
R76      4.7K               R0603        rcl          (2.082 2.792)         R270
R77      4.7K               R0603        rcl          (1.948 2.792)         R270
R78      220                R0603        rcl          (2.995 1.356)         R180
R79      4.7K               R0603        rcl          (1.379 1.136)         MR270
R80      4.7K               R0603        rcl          (2.253 1.239)         MR270
R81      40K                R0603        rcl          (2.996 1.117)         R0
R82      10K                R0603        rcl          (2.996 1.232)         R180
R83      30.9K              R0603        rcl          (0.717 2.238)         R90
R84      10K                R0603        rcl          (0.834 2.238)         R270
R85      220                R0603        rcl          (3.686 3.757)         R180
R86      220                R0603        rcl          (3.33 3.77)           R180
R87      220                R0603        rcl          (3.185 3.758)         R225
R88      220                R0603        rcl          (3.046 3.748)         R270
