Designator,Mid X,Mid Y,Rotation,Layer
Q41,115.178,-103.8125,180.0,top
Q42,115.0,-101.4,0.0,bottom
Q43,89.6,-150.1375,270.0,bottom
Q45,204.25,-150.1125,270.0,bottom
Q47,210.2,-150.0625,90.0,bottom
Q5,108.6,-123.7644,270.0,top
Q6,105.8328,-124.0,270.0,bottom
Q8,130.8625,-91.2,0.0,top
R1,147.772262,-117.347262,0.0,top
R10,167.6,-112.275,90.0,top
R11,166.0,-112.275,270.0,top
R12,131.4,-124.0,90.0,bottom
R13,119.775,-125.6,180.0,bottom
R14,119.025,-135.8,0.0,bottom
R15,119.025,-137.4,0.0,bottom
R16,119.025,-132.6,0.0,bottom
R17,119.025,-134.2,0.0,bottom
R18,119.025,-129.4,0.0,bottom
R19,119.025,-131.0,0.0,bottom
R2,150.622262,-114.997262,180.0,top
R20,118.5,-140.0,0.0,bottom
R21,120.8,-126.8,270.0,top
R22,126.2,-126.8,270.0,top
R23,123.6,-125.8,180.0,top
R24,123.6,-127.8,0.0,top
R25,200.9025,-99.75,180.0,bottom
R26,130.4,-88.1,0.0,top
R27,200.8525,-101.55,180.0,bottom
R28,121.6,-171.2,180.0,bottom
R29,133.0,-168.4,0.0,bottom
R3,138.177799,-132.2,0.0,top
R30,119.2,-161.2,0.0,bottom
R31,119.2,-162.8,0.0,bottom
R32,119.2,-158.0,0.0,bottom
R33,119.2,-159.6,0.0,bottom
R34,119.2,-154.8,0.0,bottom
R35,119.2,-156.4,0.0,bottom
R36,116.4,-176.2,0.0,bottom
R37,127.025,-151.42,270.0,bottom
R38,132.225,-151.42,270.0,bottom
R39,129.625,-150.62,0.0,bottom
R4,138.2,-134.1,0.0,top
R40,129.625,-152.4,180.0,bottom
R41,200.8525,-103.35,180.0,bottom
R42,126.175,-138.6,0.0,top
R43,125.5,-163.8,180.0,bottom
R44,166.8,-170.4,180.0,bottom
R45,178.2,-167.4,0.0,bottom
R46,180.4,-156.6,180.0,bottom
R47,180.4,-155.0,180.0,bottom
R48,180.4,-159.8,180.0,bottom
R49,180.4,-158.2,180.0,bottom
R5,140.0,-130.2,0.0,top
R50,180.4,-163.0,180.0,bottom
R51,180.4,-161.4,180.0,bottom
R52,184.15,-173.55,90.0,bottom
R53,181.0,-166.0,90.0,top
R54,175.8,-166.0,90.0,top
R55,178.425,-166.8,0.0,top
R56,178.425,-165.22,180.0,top
R57,174.0,-153.6,180.0,top
R58,92.4,-150.2,90.0,bottom
R59,173.8,-128.5,0.0,bottom
R6,138.2,-136.000001,0.0,top
R60,164.8,-125.15,0.0,top
R61,174.0,-121.3,180.0,top
R62,180.4,-131.2,180.0,bottom
R63,180.4,-129.6,180.0,bottom
R64,180.4,-134.4,180.0,bottom
R65,180.4,-132.8,180.0,bottom
R66,180.375,-137.6,180.0,bottom
R67,180.4,-136.0,180.0,bottom
R68,184.95,-140.55,180.0,bottom
R69,177.4,-139.4,90.0,top
R7,149.872262,-110.447262,90.0,top
R70,172.2,-139.4,90.0,top
R71,174.8,-140.4,0.0,top
R72,174.8,-138.6,180.0,top
R73,130.625,-119.2,180.0,bottom
R74,160.2,-138.825,270.0,bottom
R75,161.825,-138.825,90.0,bottom
R76,123.16,-116.5,0.0,bottom
R77,123.16,-118.1,0.0,bottom
R78,123.16,-113.3,0.0,bottom
R79,123.16,-114.9,0.0,bottom
