Designator,Mid X,Mid Y,Rotation,Layer
BRD1,141.9,-98.5316,0.0,top
C1,124.7,-98.025,90.0,bottom
D1,170.925,-69.4,0.0,top
D2,170.925,-71.05,0.0,top
J1,125.9,-69.9,0.0,bottom
J2,129.9,-112.9,270.0,bottom
J3,153.9,-112.9,90.0,bottom
J4,157.9,-70.0,0.0,bottom
R1,138.5,-71.65,90.0,bottom
R2,140.1,-71.65,90.0,bottom
R3,170.925,-69.4,0.0,bottom
R4,170.925,-71.05,0.0,bottom
S1,166.06,-100.41,0.0,top
U1,117.29,-98.38,270.0,top
U2,148.4532,-79.6834,180.0,top
U3,142.51,-85.2316,0.0,top
